Request id,Pickup point,Driver id,Status,Request timestamp,Request Date ,Request Time,Drop timestamp,Drop Date ,Time
619,Airport,1,Trip Completed,11-07-2016 11:51,11-07-2016,11:51:00,11-07-2016 13:00,11-07-2016,13:00:00
867,Airport,1,Trip Completed,11-07-2016 17:57,11-07-2016,17:57:00,11-07-2016 18:47,11-07-2016,18:47:00
1807,City,1,Trip Completed,12-07-2016 09:17,12-07-2016,09:17:00,12-07-2016 09:58,12-07-2016,09:58:00
2532,Airport,1,Trip Completed,12-07-2016 21:08,12-07-2016,21:08:00,12-07-2016 22:03,12-07-2016,22:03:00
3112,City,1,Trip Completed,13-07-2016 08:33,13-07-2016,08:33:16,13-07-2016 09:25,13-07-2016,09:25:47
3879,Airport,1,Trip Completed,13-07-2016 21:57,13-07-2016,21:57:28,13-07-2016 22:28,13-07-2016,22:28:59
4270,Airport,1,Trip Completed,14-07-2016 06:15,14-07-2016,06:15:32,14-07-2016 07:13,14-07-2016,07:13:15
5510,Airport,1,Trip Completed,15-07-2016 05:11,15-07-2016,05:11:52,15-07-2016 06:07,15-07-2016,06:07:52
6248,City,1,Trip Completed,15-07-2016 17:57,15-07-2016,17:57:27,15-07-2016 18:50,15-07-2016,18:50:51
267,City,2,Trip Completed,11-07-2016 06:46,11-07-2016,06:46:00,11-07-2016 07:25,11-07-2016,07:25:00
1467,Airport,2,Trip Completed,12-07-2016 05:08,12-07-2016,05:08:00,12-07-2016 06:02,12-07-2016,06:02:00
1983,City,2,Trip Completed,12-07-2016 12:30,12-07-2016,12:30:00,12-07-2016 12:57,12-07-2016,12:57:00
2784,Airport,2,Trip Completed,13-07-2016 04:49,13-07-2016,04:49:20,13-07-2016 05:23,13-07-2016,05:23:03
3075,City,2,Trip Completed,13-07-2016 08:02,13-07-2016,08:02:53,13-07-2016 09:16,13-07-2016,09:16:19
3379,City,2,Trip Completed,13-07-2016 14:23,13-07-2016,14:23:02,13-07-2016 15:35,13-07-2016,15:35:18
3482,Airport,2,Trip Completed,13-07-2016 17:23,13-07-2016,17:23:18,13-07-2016 18:20,13-07-2016,18:20:51
4652,City,2,Trip Completed,14-07-2016 12:01,14-07-2016,12:01:02,14-07-2016 12:36,14-07-2016,12:36:46
5335,Airport,2,Trip Completed,14-07-2016 22:24,14-07-2016,22:24:13,14-07-2016 23:18,14-07-2016,23:18:52
535,Airport,3,Trip Completed,11-07-2016 10:00,11-07-2016,10:00:00,11-07-2016 10:31,11-07-2016,10:31:00
960,Airport,3,Trip Completed,11-07-2016 18:45,11-07-2016,18:45:00,11-07-2016 19:23,11-07-2016,19:23:00
1934,Airport,3,Trip Completed,12-07-2016 11:17,12-07-2016,11:17:00,12-07-2016 12:23,12-07-2016,12:23:00
2083,Airport,3,Trip Completed,12-07-2016 15:46,12-07-2016,15:46:00,12-07-2016 16:40,12-07-2016,16:40:00
2211,Airport,3,Trip Completed,12-07-2016 18:00,12-07-2016,18:00:00,12-07-2016 18:28,12-07-2016,18:28:00
3096,Airport,3,Trip Completed,13-07-2016 08:17,13-07-2016,08:17:29,13-07-2016 09:22,13-07-2016,09:22:37
3881,Airport,3,Trip Completed,13-07-2016 21:54,13-07-2016,21:54:18,13-07-2016 22:51,13-07-2016,22:51:23
5254,City,3,Trip Completed,14-07-2016 21:23,14-07-2016,21:23:03,14-07-2016 22:25,14-07-2016,22:25:19
5434,City,3,Trip Completed,15-07-2016 02:41,15-07-2016,02:41:38,15-07-2016 03:24,15-07-2016,03:24:43
5916,City,3,Trip Completed,15-07-2016 10:00,15-07-2016,10:00:43,15-07-2016 10:53,15-07-2016,10:53:06
669,City,4,Trip Completed,11-07-2016 13:08,11-07-2016,13:08:00,11-07-2016 13:49,11-07-2016,13:49:00
1567,Airport,4,Trip Completed,12-07-2016 06:21,12-07-2016,06:21:00,12-07-2016 07:10,12-07-2016,07:10:00
1826,City,4,Trip Completed,12-07-2016 09:27,12-07-2016,09:27:00,12-07-2016 10:27,12-07-2016,10:27:00
2102,City,4,Trip Completed,12-07-2016 16:09,12-07-2016,16:09:00,12-07-2016 17:01,12-07-2016,17:01:00
2847,Airport,4,Trip Completed,13-07-2016 05:34,13-07-2016,05:34:20,13-07-2016 06:09,13-07-2016,06:09:59
