original_title,popularity,revenue,release_date,runtime,vote_average,vote_count,budget,genres
Toy Story,21.946943,373554033.0,1995.8333333333333,81.0,7.7,5415.0,30000000.0,"['Animation', 'Comedy', 'Family']"
Jumanji,17.015539,262797249.0,1996.0,104.0,6.9,2413.0,65000000.0,"['Adventure', 'Fantasy', 'Family']"
Heat,17.924927,187436818.0,1996.0,170.0,7.7,1886.0,60000000.0,"['Action', 'Crime', 'Drama', 'Thriller']"
GoldenEye,14.686036,352194034.0,1995.9166666666667,130.0,6.6,1194.0,58000000.0,"['Adventure', 'Action', 'Thriller']"
Nixon,5.092,13681765.0,1996.0,192.0,7.1,72.0,44000000.0,"['History', 'Drama']"
Casino,10.137389,116112375.0,1995.9166666666667,178.0,7.8,1343.0,52000000.0,"['Drama', 'Crime']"
Sense and Sensibility,10.673167,135000000.0,1996.0,136.0,7.2,364.0,16500000.0,"['Drama', 'Romance']"
Leaving Las Vegas,10.332025,49800000.0,1995.8333333333333,112.0,7.1,365.0,3600000.0,"['Drama', 'Romance']"
Now and Then,8.681325,27400000.0,1995.8333333333333,100.0,6.6,91.0,12000000.0,"['Comedy', 'Drama', 'Family']"
La Cité des Enfants Perdus,9.822423,1738611.0,1995.4166666666667,108.0,7.6,308.0,18000000.0,"['Fantasy', 'Science Fiction', 'Adventure']"
Twelve Monkeys,12.297305,168840000.0,1996.0,129.0,7.4,2470.0,29500000.0,"['Science Fiction', 'Thriller', 'Mystery']"
Dead Man Walking,6.891317,39363635.0,1996.0,122.0,7.3,350.0,11000000.0,['Drama']
Clueless,9.882383,0.0,1995.5833333333333,97.0,6.9,828.0,12000000.0,"['Comedy', 'Drama', 'Romance']"
Dead Presidents,9.87957,0.0,1995.8333333333333,119.0,6.6,80.0,10000000.0,"['Action', 'Crime', 'Drama', 'History']"
To Die For,10.448481,21284514.0,1995.4166666666667,106.0,6.7,177.0,20000000.0,"['Fantasy', 'Drama', 'Comedy', 'Thriller']"
