Name,Discipline,COSPAR ID,Launch Mass,Onboard Power,Launch Date,Launch Vehicle,Launch Site,Periapsis,Apoapsis,Period,Inclination,Longitude,Eccentricity
Aryabhatta,"	Earth Sciences
		Space Physics[2]",1975-033A,360 kg (790 lb)[2],46 W[3],"19 April 1975,
13:10:00 IST[4]", Interkosmos-II," Kapustin Yar
Missile and Space Complex",568 km (353 mi)[4],611 km (380 mi)[4],96.5 mins[4],50.7[4],,0.00308[4]
"Bhaskara
Sega-I","	Astronomy
		Communications
		Engineering
		Earth Sciences[5]",1979-051A,444 kg (979 lb)[5],47 W[6],"7 June 1979,
16:00:00 IST[7]","Modified SS-5
(SKean IRBM)
plus Upper Stage[5]"," Kapustin Yar
Missile and Space Complex",512 km (318 mi)[7],557 km (346 mi)[7],95.2 mins[7],50.7[7],,0.00325[7]
"Rohini
Technology
Payload",		Experimental,,35 kg (77 lb)[8],3 W[8],10 August 1979[8],SLV-3-E1," Satish Dhawan Space Centre,
Sriharikota, Andhra Pradesh",,,,,,
Rohini RS-1 (Rohini-1B),	Earth Sciences[10],1980-062A,35 kg (77 lb)[10],16 W[11],"18 July 1980, 8:01:00 IST[12]",SLV-3-E2," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",305 km (190 mi)[12],919 km (571 mi)[12],96.9 mins[12],44.7[12],,0.04389[12]
Rohini RS-D1 (Rohini-2),	Earth Sciences[13],1981-051A,38 kg (84 lb)[13],16 W[14],"31 May 1981, 10:30:00 IST[15]",SLV-3-D1," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",186 km (116 mi)[15],418 km (260 mi)[15],90.5 mins[15],46.3[15],,0.01735[15]
APPLE,	Communications[16],1981-057B,"670 kg (1,480 lb)[16]",210 W[17],"19 June 1981, 18:02:59 IST[18]",Ariane-1 (V-3)," Centre Spatial Guyanais, Kourou","35,761.9 km (22,221.4 mi)[19]","35,963 km (22,346 mi)[19]",1439.6 mins[19],13.6[19],97.57 E[19],0.00513[18]
Bhaskara -II,"	Engineering
		Earth Sciences[20]",1981-115A,444 kg (979 lb)[20],47 W[21],"20 November 1981, 14:08:00 IST[22]","Modified SS-5
(SKean IRBM) plus Upper Stage", Kapustin Yar Missile and Space Complex,520 km (320 mi)[22],542 km (337 mi)[22],95.2 mins[22],50.6[22],,0.00159[22]
INSAT-1A,	Communications[23],1982-031A,"1,152.1 kg (2,540 lb)[23]",,"10 April 1982, 12:17:00 IST[24]",Delta 3910 PAM-D," Air Force Eastern Test Range, Florida","35,837.1 km (22,268.1 mi)[25]","35,903.1 km (22,309.2 mi)[25]",1440 mins[25],13.6[25],40.85 E[25],
Rohini RS-D2 (Rohini-3),	Earth Sciences[26],1983-033A,41.5 kg (91 lb)[27],16 W[27],"17 April 1983, 11:14:00 IST[28]",SLV-3," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",389 km (242 mi)[28],852 km (529 mi)[28],97.1 mins[28],46.6[28],,0.03306[28]
INSAT-1B,"	Communications
		Earth Sciences[29]",1983-089B,"1,152 kg (2,540 lb)[29]",,"1 June 1983, 13:19:00 IST[30]", Shuttle [PAM-D]," Air Force Eastern Test Range, Florida","35,776.2 km (22,230.3 mi)[31]","35,869.6 km (22,288.3 mi)[31]",1437.6 mins[31],14.8[31],89.71 E[31],
