Name,Launch Vehicle,Launch Site,Launch Date,Discipline,Launch Mass(kg),Onboard Power(W),Periapsis(km),Apoapsis(km),Period(min),Inclination(degrees),Longitude(E),Eccentricity
Aryabhatta, Interkosmos-II, Kapustin Yar Missile and Space Complex,19 April 1975,"Earth Sciences, Space Physics",360,46,568,611,96.5,50.7,,0.00308
Bhaskara Sega-I,Modified SS-5 (SKean IRBM) plus Upper Stage, Kapustin Yar Missile and Space Complex,7 June 1979,"Astronomy, Communications, Engineering, Earth Sciences",444,47,512,557,95.2,50.7,,0.00325
Rohini Technology Payload,SLV-3-E1," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",10 August 1979,Experimental,35,3,,,,,,
Rohini RS-1 (Rohini-1B),SLV-3-E2," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",18 July 1980,Earth Sciences,35,16,305,919,96.9,44.7,,0.04389
Rohini RS-D1 (Rohini-2),SLV-3-D1," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",31 May 1981,Earth Sciences,38,16,186,418,90.5,46.3,,0.01735
APPLE,Ariane-1 (V-3)," Centre Spatial Guyanais, Kourou",19 June 1981,Communications,670,210,35761.9,35963,1439.6,13.6,97.57,0.00513
Bhaskara -II,Modified SS-5 (SKean IRBM) plus Upper Stage, Kapustin Yar Missile and Space Complex,20 November 1981,"Engineering, Earth Sciences",444,47,520,542,95.2,50.6,,0.00159
INSAT-1A,Delta 3910 PAM-D," Air Force Eastern Test Range, Florida",10 April 1982,Communications,1152.1,,35837.1,35903.1,1440,13.6,40.85,
Rohini RS-D2 (Rohini-3),SLV-3," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",17 April 1983,Earth Sciences,41.5,16,389,852,97.1,46.6,,0.03306
INSAT-1B, Shuttle ," Air Force Eastern Test Range, Florida",1 June 1983,"Communications, Earth Sciences",1152,,35776.2,35869.6,1437.6,14.8,89.71,
SROSS-1,ASLV-D1," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",24 March 1987,Experimental,150,90,,,,,,
IRS-1A, Vostok," Baikonur Cosmodrome, Kazakhstan",17 March 1988,Earth Sciences,975,600,902.3,922.1,103.1,99.3,,0.00371
SROSS-2,ASLV-D2," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",13 July 1988,"Astronomy, Space Physics",150,90,,,,,,
INSAT-1C,Ariane-3," Centre Spatial Guyanais, Kourou",22 July 1988,"Communications, Earth Sciences",1152,,35768.8,35821.5,1436.2,14.9,95.03,0.00035
INSAT-1D,Delta 4925," Air Force Eastern Test Range, Florida",12 June 1990,"Communications, Earth Sciences",1190,1000,35729.2,35974,1435.9,14.3,71.66,0.00245
IRS-1B, Vostok," Baikonur Cosmodrome, Kazakhstan",29 August 1991,Earth Sciences,975,600,892.6,928,103.1,99,,0.00385
INSAT-2DT (Formerly ARABSAT-1C) (INSAT-2R),Ariane-44L H10," Centre Spatial Guyanais, Kourou",27 February 1992,Communications,1310,1400,36122.8,36365.4,1459.2,11.6,-21.41,0.00385
SROSS-C (SROSS-3),ASLV-D3," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",20 May 1992,"Astronomy, Earth Sciences, Space Physics",106.1,45,255,429,91,46.03,,0.01295
INSAT-2A,Ariane-44L H10," Centre Spatial Guyanais, Kourou",10 July 1992,"Communications, Earth Sciences",1906,1000,35783.1,35846.9,1437.2,14.5,16.18,0.00381
INSAT-2B,Ariane-44L H10+," Centre Spatial Guyanais, Kourou",23 July 1993,"Communications, Earth Sciences",1931,1000,35812.9,35941.2,1440.4,13,-156.74,
IRS-1E,PSLV-D1," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",20 September 1993,Earth Sciences,846,415,,,,,,
SROSS-C2,ASLV-D4," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",5 May 1994,"Astronomy, Space Physics",113,45,433,917,98.1,46,,0.03431
IRS-P2,PSLV-D2," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",15 October 1994,Earth Sciences,870,510,819.2,820.8,101.1,98.8,,0.00533
INSAT-2C,Ariane-44L H10-3," Centre Spatial Guyanais, Kourou",7 December 1995,Communications,2050,1320,35918.4,35948.5,1443.2,12,60.57,
IRS-1C,Molniya-M," Baikonur Cosmodrome, Kazakhstan",28 December 1995,Earth Sciences,1250,809,823,824.9,101.2,98.69,,0.00014
IRS-P3 (IRS B3),PSLV-D3," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",21 March 1996,"Astronomy, Earth Sciences",930,817,820.9,827.1,101.2,98.7,,0.00319
INSAT-2D,Ariane-44L H10-3," Centre Spatial Guyanais, Kourou",4 June 1997,Communications,2079,1650,33225.6,35917.5,1374.1,13.5,125.76,
IRS-1D,PSLV-C1," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",29 September 1997,Earth Sciences,920,809,748.6,823.3,100.4,98.4,,0.03719
INSAT-2E (APR-1),Ariane-42P H10-3," Centre Spatial Guyanais, Kourou",2 April 1999,"Communications, Earth Sciences",2550,,35932.1,36003.3,1445,5.3,107.82,
OceanSat-1 (IRS-P4),PSLV-C2," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",26 May 1999,Earth Sciences,1050,750,723.9,726.3,99.1,98.2,,0.00077
INSAT-3B,Ariane-5G," Centre Spatial Guyanais, Kourou",22 March 2000,Communications,2070,1712,35949.3,35985.9,1445.0,4.3,-107,
GSAT-1 (GramSat-1),GSLV-D1," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",18 April 2001,"Communications, Engineering",1530,,33853.1,35800.5,1387,11.2,17.37,0.02261
TES,PSLV-C3," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",22 October 2001,Earth Sciences,1108,,514.6,570.2,95.3,97.7,,0.00202
INSAT-3C,Ariane-42L H10-3," Centre Spatial Guyanais, Kourou",24 January 2002,Communications,2750,2765,35786.9,35800.6,1436.1,0.6,93.5,0.00245
Kalpana-1 (MetSat-1),PSLV-C4," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",12 September 2002,Earth Sciences,1060,550,35741.2,35845.9,1436.1,6.3,74,
INSAT-3A,Ariane-5G," Centre Spatial Guyanais, Kourou",10 April 2003,"Communications, Earth Sciences",2950,3100,35874.2,35980.2,1442.9,1.2,87,
GSAT-2 (GramSat-2),GSLV-D2," Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",8 May 2003,Communications,1900,1400,35892.6,35936.5,1442.3,5,-199,
INSAT-3E,Ariane-5G," Centre Spatial Guyanais, Kourou",28 September 2003,Communications,2775,,35576.4,35716.3,1428.6,2.5,126.83,
